Section,Text,Order
Outdoor Guidelines,"Outdoor Guidelines",1
Shipping Plan,"STL team should be out on tables.",1
Shipping Plan,"Illinois team keep product on racks by the Main Entrance. Certain stores may have to go down the fertilizer isle or inside the store on Wednesday night. Check your weather every day!",2
Shipping Plan,"IL: 3/9",3
Shipping Plan,"Southern Wi: 3/16",4
Shipping Plan,"Metro MN: 3/23",5
Shipping Plan,"All Stores: 3/30",6
Outdoor Table Builds,"Outdoor Table Builds",1
Outdoor Table Builds,"Apron/IGC tables need to be completed this week with exception of Northern Wisconsin/Minnesota. Deadline for all stores is Friday March 13th.",2
Garden Plans,"Garden Plans",1
Garden Plans,"Apron Table 1 Signage (BMSM Slip Sign) 2026 signs are not ready but use last year’s VG BMSM signs this week.",2
Garden Plans,"Apron Endcap 1: 11in Hellebores or 1G Hellebores",3
Garden Plans,"Apron Table 1: 1G VG Dianthus, 1G VG Aubrieta, 1G VG Erysimum, 1G VG Bergenia, 1G VG Carex,",4
Garden Plans,"Apron Table 2 Signage (Local Favorite)",5
Garden Plans,"Apron Endcap 2: 1G Viola",6
Garden Plans,"Apron Table 2: VG QT, PW QT, 1G Iberis",7
Accelerator Trees,"Accelerator Trees",1
Accelerator Trees,"Ship to STL Market this week schedule attached.",2
Accelerator Trees,"We need to assist with the unloading process.",3
Accelerator Trees,"Work with shrub vendors on placement.",4
